成就id,成就名,条件1,条件2,条件3,内容（描述）,成就点,金币奖励,钻石奖励,物品奖励
id,name,condition1,condition2,condition3,description,point,gold_rewards,diamond_rewards,goods_rewards
int,string,int,int,int,string,int,int,int,int[:]
110101,人族晋升1,10000,5,0,人族平民升到5阶！,10,100,,11001:1
110102,人族晋升2,10000,15,0,人族平民升到15阶！,10,200,,11002:1
110103,人族晋升3,10000,25,0,人族平民升到25阶！,10,500,10,
110201,精灵晋升1,20000,5,0,精灵贵族升到5阶！,10,100,,11005:1
110202,精灵晋升2,20000,15,0,精灵贵族升到15阶！,10,200,,11006:1
110203,精灵晋升3,20000,25,0,精灵贵族升到25阶！,10,500,10,
110301,亡灵晋升1,30000,5,0,亡灵英雄升到5阶！,10,100,,11009:1
110302,亡灵晋升2,30000,15,0,亡灵英雄升到15阶！,10,200,,11010:1
110303,亡灵晋升3,30000,25,0,亡灵英雄升到25阶！,10,500,10,
120101,精灵贵族！,20000,1,0,获得精灵贵族！,10,,,11004:2|11005:2
120201,亡灵英雄！,30000,1,0,获得亡灵英雄！,10,,,11008:2|11009:2
130101,前赴后继1！,50,0,0,在地下城中总共阵亡50次,10,100,10,
130102,前赴后继2！,200,0,0,在地下城中总共阵亡200次,10,200,10,
130103,前赴后继3！,1000,0,0,在地下城中总共阵亡500次,10,500,10,
140101,魔物铲除者1,100,1,0,总共消灭50个小怪,10,100,10,
140102,魔物铲除者2,500,1,0,总共消灭500个小怪,10,200,10,
140103,魔物铲除者3,2000,1,0,总共消灭1000个小怪,10,500,10,
140201,精英狩猎者1,20,3,0,总共消灭20个精英,10,100,10,
140202,精英狩猎者2,100,3,0,总共消灭100个精英,10,200,10,
140203,精英狩猎者3,500,3,0,总共消灭500个精英,10,500,10,
140301,勇者1,5,4,0,总共消灭5个Boss,10,100,10,
140302,勇者2,20,4,0,总共消灭20个Boss,10,200,10,
140303,勇者3,100,4,0,总共消灭100个Boss,10,500,10,
140401,小领主1,5,2,0,总共消灭5个小领主,10,100,10,
140402,小领主2,20,2,0,总共消灭20个小领主,10,200,10,
140403,小领主3,50,2,0,总共消灭50个小领主,10,500,10,
150101,胜利！地狱三头犬1,1,15,0,击败地狱三头犬,10,100,10,
150102,胜利！地狱三头犬2,10,15,0,击败地狱三头犬10次,10,200,10,
150103,胜利！地狱三头犬3,50,15,0,击败地狱三头犬50次,10,500,10,
150201,胜利！泰坦1,1,18,0,击败泰坦,10,100,10,
150202,胜利！泰坦2,10,18,0,击败泰坦10次,10,200,10,
150203,胜利！泰坦3,50,18,0,击败泰坦50次,10,500,10,
150301,胜利！恶龙1,1,16,0,击败恶龙,10,100,10,
150302,胜利！恶龙2,10,16,0,击败恶龙10次,10,200,10,
150303,胜利！恶龙3,50,16,0,击败恶龙50次,10,500,10,
150401,胜利！奇美拉1,1,17,0,击败奇美拉,10,100,10,
150402,胜利！奇美拉2,10,17,0,击败奇美拉10次,10,200,10,
150403,胜利！奇美拉3,50,17,0,击败奇美拉50次,10,500,10,
150501,哥布林粉碎机1,50,1,0,累计击杀50只哥布林,10,100,10,
150502,哥布林粉碎机2,500,1,0,累计击杀500只哥布林,10,200,10,
150503,哥布林粉碎机3,2000,1,0,累计击杀2000只哥布林,10,500,10,
150601,辣手摧花1,50,2,0,累计击杀50只食人花,10,100,10,
150602,辣手摧花2,500,2,0,累计击杀500只食人花,10,200,10,
150603,辣手摧花3,2000,2,0,累计击杀2000只食人花,10,500,10,
150701,炖汤喝1,50,3,0,累计击杀50只骷髅,10,100,10,
150702,炖汤喝2,500,3,0,累计击杀500只骷髅,10,200,10,
150703,炖汤喝3,2000,3,0,累计击杀2000只骷髅,10,500,10,
150801,铜牌消防员,50,4,0,累计击杀50只鬼火,10,100,10,
150802,银牌消防员,500,4,0,累计击杀500只鬼火,10,200,10,
150803,金牌消防员,2000,4,0,累计击杀2000只鬼火,10,500,10,
150901,斩鬼师1,50,6,0,累计击杀50只哥布林,10,100,10,
150902,斩鬼师2,500,6,0,累计击杀500只哥布林,10,200,10,
150903,斩鬼师3,2000,6,0,累计击杀2000只哥布林,10,500,10,
151001,软泥造型师1,50,8,0,累计击杀50只史莱姆,10,100,10,
151002,软泥造型师2,500,8,0,累计击杀500只史莱姆,10,200,10,
150113,软泥造型师3,2000,8,0,累计击杀2000只史莱姆,10,500,10,
160101,青铜宝箱1,100,10000615,0,累计开启青铜宝箱100个,10,100,10,
160102,青铜宝箱2,500,10000615,0,累计开启青铜宝箱500个,10,200,10,
160103,青铜宝箱3,1000,10000615,0,累计开启青铜宝箱1000个,10,500,10,
160201,白银宝箱1,50,10000616,0,累计开启白银宝箱50个,10,100,10,
160202,白银宝箱2,100,10000616,0,累计开启白银宝箱100个,10,200,10,
160203,白银宝箱3,500,10000616,0,累计开启白银宝箱500个,10,500,10,
160301,黄金宝箱1,50,10000617,0,累计开启黄金宝箱50个,10,100,10,
160302,黄金宝箱2,100,10000617,0,累计开启黄金宝箱100个,10,200,10,
160303,黄金宝箱3,500,10000617,0,累计开启黄金宝箱500个,10,500,10,
160401,藏宝罐1,100,10000618,0,累计开启藏宝罐100个,10,100,10,
160402,藏宝罐2,500,10000618,0,累计开启藏宝罐500个,10,200,10,
160403,藏宝罐3,1000,10000618,0,累计开启藏宝罐1000个,10,500,10,
170101,通关！人类遗迹1,1,1015,0,通关人类遗迹1,10,100,10,
170102,征服！人类遗迹1,10,1015,0,通关人类遗迹1 10次,10,100,10,
170201,通关！人类遗迹2,1,2025,0,通关人类遗迹2,10,100,10,
170202,征服！人类遗迹2,10,2025,0,通关人类遗迹2 10次,10,100,10,
170301,通关！熔岩洞穴,1,3030,0,通关熔岩洞穴,10,100,10,
170302,征服！熔岩洞穴,10,3030,0,通关熔岩洞穴10次,10,100,10,
170401,通关！海底圣所,1,4050,0,通关海底圣所,10,100,10,
170402,征服！海底圣所,10,4050,0,通关海底圣所10次,10,100,10,
180101,冒险新人,50,0,0,累计冒险50次,10,100,10,
180102,冒险专家,500,0,0,累计冒险500次,10,100,10,
180103,冒险大师,1000,0,0,累计冒险1000次,10,100,10,
190101,地下城新人,50,0,0,累计冒险50层,10,100,10,
190102,地下城专家,500,0,0,累计冒险500层,10,100,10,
190103,地下城大师,1000,0,0,累计冒险1000层,10,100,10,
200101,符文收藏者！,1,2,0,获得1个任意符文,10,100,10,
200102,符文收藏家！,30,2,0,总共获得30个任意符文,10,200,10,
200103,符文收藏大师！,100,2,0,总共获得100个任意符文,10,500,10,
200201,装备收藏者！,50,4,0,累计获得50件装备,10,100,10,
200202,装备收藏家！,200,4,0,累计获得200件装备,10,200,10,
200203,装备收藏大师！,1000,4,0,累计获得1000件装备,10,500,10,
200301,初级符文者,1,2,4,获得1个4级符文,10,100,10,
200302,高级符文者,10,2,4,获得10个4级符文,10,200,10,
200303,传奇符文者,30,2,4,获得30个4级符文,10,500,10,
200401,初级符文师,1,2,5,获得1个5级符文,10,100,10,
200402,高级符文师,10,2,5,获得10个5级符文,10,200,10,
200403,传奇符文师,30,2,5,获得30个5级符文,10,500,10,
210101,财源滚滚！,3000,0,0,获得3000枚金币,10,100,10,
210102,万元户！,10000,0,0,获得10000枚金币,10,200,10,
210103,可以买房了！,5000000,0,0,获得500000枚金币,10,500,10,
210104,你就是土豪！,20000000,0,0,获得20000000枚金币,10,100,10,
220101,强化1,1,0,0,强化1件装备,10,200,,12000:5
220102,强化2,10,0,0,强化10件装备,10,500,,12002:5
220103,强化3,50,0,0,强化50件装备,10,,,12004:10|12005:10
220104,强化4,200,0,0,强化200件装备,10,,,12004:20|12005:20
220201,完美1,5,4,0,强化结果为[完美]5次,10,100,,12008:5
220202,完美2,20,4,0,强化结果为[完美]20次,10,100,,12009:5
220203,完美3,100,4,0,强化结果为[完美]100次,10,,,12010:50|12011:50
220301,卓越1,5,3,0,强化结果为[卓越]5次,10,100,,12006:5
220302,卓越2,20,3,0,强化结果为[卓越]20次,10,200,,12007:5
220303,卓越3,100,3,0,强化结果为[卓越]100次,10,500,,12016:30|12017:30
230101,锻造！,1,4,0,制作1件装备,10,,,13001:5|13002:5
230102,初级锻造师！,10,4,0,制作10件装备,10,,,13002:10|13003:10
230103,中级锻造师！,50,4,0,制作50件装备,10,,,13004:10|13005:10
230104,高级锻造师！,200,4,0,制作200件装备,10,100,,10015:10
230201,符文合成师1,1,2,0,制作1个符文,10,200,,10015:50
230202,符文合成师2,10,2,0,制作10个符文,10,500,,10015:200
230203,符文合成师3,50,2,0,制作50个符文,10,100,,10015:500
230204,符文合成师4,200,2,0,制作200个符文,10,100,,10015:1000
230301,中级符文合成师1,1,2,4,制作1个4级符文,10,100,10,
230302,中级符文合成师2,10,2,4,制作10个4级符文,10,100,10,
230303,中级符文合成师3,30,2,4,制作30个4级符文,10,100,10,
230401,高级符文合成师1,1,2,5,制作1个5级符文,10,100,10,
230402,高级符文合成师2,10,2,5,制作10个5级符文,10,100,10,
230403,高级符文合成师3,20,2,5,制作20个5级符文,10,100,10,
230501,炼金初学者,1,3,0,制作1个消耗品,10,100,10,
230502,初级炼金师,20,3,0,制作20个消耗品,10,100,10,
230503,中级炼金师,80,3,0,制作80个消耗品,10,100,10,
230504,高级炼金师,200,3,0,制作200个消耗品,10,100,10,
240101,我不是药神1,50,1,0,累计使用50个消耗品,10,100,10,
240102,我不是药神2,200,1,0,累计使用200个消耗品,10,200,10,
240103,我不是药神3,5000,1,0,累计使用5000个消耗品,10,500,10,
240201,道具达人,50,2,0,累计使用50个道具,10,100,10,
240202,道具专家,200,2,0,累计使用200个道具,10,200,10,
240203,道具宗师,5000,2,0,累计使用5000个道具,10,500,10,
240301,冒险家,50,3,0,累计使用50个冒险品,10,100,10,
240302,冒险者,200,3,0,累计使用200个冒险品,10,200,10,
240303,冒险王,5000,3,0,累计使用5000个冒险品,10,500,10,
250101,花费1,5000,0,0,累计消耗5000金币,10,100,10,
250102,花费2,20000,0,0,累计消耗20000金币,10,200,10,
250103,花费3,500000,0,0,累计消耗500000金币,10,500,10,
260101,钻石,500,0,0,累计消费500钻石,10,100,10,
260102,钻石大亨,5000,0,0,累计消费5000钻石,10,200,10,
260103,钻石巨鳄,100000,0,0,累计消费100000钻石,10,500,10,
270101,背包购买1,2,1,0,购买2个背包页,10,100,50,
270102,背包购买2,4,1,0,购买4个背包页,10,100,100,
270201,仓库1,2,2,0,仓库扩容2次,10,100,50,
270202,仓库2,5,2,0,仓库扩容5次,10,200,100,
270203,仓库3,10,2,0,仓库扩容10次,10,500,500,
280101,人族精通！,10000,0,0,人族平民转职过所有人族职业,10,100,10,
280201,精灵族精通！,20000,0,0,精灵贵族转职过所有精灵职业,10,100,10,
280301,亡灵族精通！,30000,0,0,亡灵英雄转职过所有亡灵职业,10,100,10,
290101,再接再厉！,10,0,0,累计复活10次,10,100,20,
290102,越挫越勇！,50,0,0,累计复活50次,10,200,50,
290103,永不放弃！,500,0,0,累计复活500次,10,500,100,
300101,初级冒险者1,20,1,1,派出冒险累计获得20个1级材料,10,,,15000:5|15001:5
300102,初级冒险者2,100,1,1,派出冒险累计获得100个1级材料,10,,,15000:20|15001:20
300103,初级冒险者3,1000,1,1,派出冒险累计获得1000个1级材料,10,,,15000:80|15001:80
300201,中级冒险者1,20,2,1,派出冒险累计获得20个2级材料,10,100,,14004:2
300202,中级冒险者2,50,2,1,派出冒险累计获得50个2级材料,10,200,,14005:10
300203,中级冒险者3,200,2,1,派出冒险累计获得200个2级材料,10,500,10,
300301,高级冒险者1,10,3,1,派出冒险累计获得10个3级材料,10,100,10,
300302,高级冒险者2,50,3,1,派出冒险累计获得50个3级材料,10,200,10,
300303,高级冒险者3,100,3,1,派出冒险累计获得100个3级材料,10,500,10,
310101,冒险家1,20,0,0,派出冒险20次,10,100,10,
310102,冒险家2,60,0,0,派出冒险60次,10,200,10,
310103,冒险家3,200,0,0,派出冒险200次,10,500,10,
320101,成就新人,500,0,0,成就点数达到500点,10,100,10,
320102,成就达人,1000,0,0,成就点数达到1000点,10,200,10,
320103,职业成就者,1500,0,0,成就点数达到1500点,10,500,10,
330101,小露一手,50,1,0,魔法日记累计回答正确50次,10,100,10,
330102,智慧少年,200,1,0,魔法日记计回答正确200次,10,200,10,
330103,解谜达人,500,1,0,魔法日记累计回答正确500次,10,500,10,
330201,错误百出,20,2,0,魔法日记累计回答错误20次,10,100,10,
330202,弱智少年,50,2,0,魔法日记累计回答错误50次,10,200,10,
330203,你也太笨了！,200,2,0,魔法日记累计回答错误200次,10,500,10,
330301,智慧少年1,5,3,0,连续回答正确5次,10,100,10,
330302,智慧少年2,20,3,0,连续回答正确20次,10,100,10,
330401,智障少年1,5,4,0,连续回答错误5次,10,100,10,
330402,智障少年2,20,4,0,连续回答错误20次,10,100,10,
