冒险ID,冒险点等级,名字,描述,消耗时间,产出材料,产出数量,额外掉落1,额外掉落1区间,额外掉落2,额外掉落2区间,额外掉落3,额外掉落3区间,额外掉落4,额外掉落4区间,默认效率,获得道具,概率
adventure_id,adventure_lv,adventure_name,adventure_describe,adventure_time,adventure_get,get_num,extra_1,extra_1_num,extra_2,extra_2_num,extra_3,extra_3_num,extra_4,extra_4_num,efficiency,item,item_probability 
int,int,string,string,int,int[],int[],int,int[],int,int[],int,int[],int,int[],float,int,float
1,0,莱纳河下游,莱纳河的下游比较安全，只会出现一些低阶魔物，但是仍然时常可以发现从上游漂流过来的一些宝物，应该可以找到一些进阶材料，过去看一看吧。。。,60,14002|14003|14004,2|2|2,11000,0|1,11004,0|1,11008,0|1,,,1,40000,0.05
2,1,古城废墟,古城废墟已的魔物已经被清除的差不多了，应该不会很危险，但是这里还有很多没有探索到的地区，应该还可以发现一些强化用的材料。。。。,60,12006|12007,3|3,12000,0|2,12001,0|2,12012,0|2,12013,0|2,1,40000,0.05
3,1,凯旋桥,凯旋桥是层级人类的最后一道防线，这里曾经爆发了人类和魔物的最后一次的战争，现在仍然可以看到当时战争的惨烈场景，去发现一些强化材料吧。。。,120,13006|13007,6|6,13000,0|4,13001,0|4,13012,0|4,13013,0|2,1,40000,0.05
4,2,战争遗迹,曾经的战场，最大规模的战争在此爆发，无数的英雄在此陨落，现在仍不时有淘金者来此寻宝想要发一笔横财，现在还能搜集到一些制作材料。。。。,120,14002|14003|14005,4|4|4,11001,0|2,11005,0|2,11009,0|2,,,1,40000,0.05
5,2,莱纳河上游,莱纳河的上游是原来魔物的聚集地，现在已经荒废了，见不到魔物的身影，能够搜集到当年魔物锻造武器的材料。。。,240,12008|12009,12|12,12002,0|8,12003,0|8,12014,0|8,12015,0|8,1,40000,0.05
6,3,熔岩地穴,熔岩地穴十分炽热，但是这里仍然有很多可以探索的地方,120,13008|13009,6|6,13002,0|4,13003,0|4,13014,0|4,13015,0|4,1,40000,0.05
7,3,熔岩湖,那罗亚火山喷发出来的岩浆在山下聚集成为一个炽热的湖泊，可以发现。。。,240,14006|14007|14008,8|8|8,11002,0|4,11006,0|4,11010,0|4,,,1,40000,0.05
8,3,那罗亚火山,炽热的火山口，随时可能会喷发，这里是,480,12010|12011,20|20,12004,0|16,12005,0|16,12016,0|16,12017,0|16,1,40000,0.05
9,4,海底圣所,海底圣所中,120,13010|13011,6|6,13004,0|4,13005,0|4,13016,0|4,13017,0|4,1,40000,0.05
10,4,荆棘路,终于从海底圣所中出来了，后面是一条被玫瑰花铺满的长路看不到尽头，一条充满荆棘的道路中可以搜集。。。。。,240,14009|14010|14011,5|5|5,11003,0|3,11007,0|3,11011,0|3,,,1,40000,0.05
11,4,世界尽头,天涯海角，世界的尽头，能够到达这里的勇者,480,14012|14013|14014,10|10|10,11003,0|3,11007,0|3,11011,0|3,,,1,40000,0.05
