ID,装备等级,装备类型,职业需求,装备评分,使用部位,能否带回城镇,套装,强化上限,属性1,属性1增加值,属性2,属性2增加值,属性3,属性3增加值,属性4,属性4增加值,属性5,属性5增加值,属性6,属性6增加值,属性7,属性7增加值,属性8,属性8增加值,额外增加攻击速度,背面插槽,背面贴图,侧面插槽,侧面贴图,正面插槽,正面贴图
id,equip_level,equip_type,job_requirements,gearscore,used_part,bring_back,suit,intensify,Attribute1_key,Attribute1_value,Attribute2_key,Attribute2_value,Attribute3_key,Attribute3_value,Attribute4_key,Attribute4_value,Attribute5_key,Attribute5_value,Attribute6_key,Attribute6_value,Attribute7_key,Attribute7_value,Attribute8_key,Attribute8_value,Attack_rate,back_slots,back_photo,side_slots,side_photo,front_slots,front_photo
int,int,int,int[],int,int,int,int,int,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,string[],string[],string[],string[],string[],string[]
40000,1,1,0,1624,6,0,0,10,2,16,1,46,11,25,10,19,9,26,0,0,0,0,0,0,50,sword01,T7_b_sword01,sword01,T7_s_sword01,sword01,T7_f_sword01
40001,2,1,0,3439,6,1,1,10,2,16,1,46,11,25,9,99,12,67,0,0,0,0,0,0,50,sword01,T11_b_sword01,sword01,T11_s_sword01,sword01,T11_f_sword01
40002,3,2,0,3150,2,1,1,10,6,9,5,26,24,32,20,48,13,96,0,0,0,0,0,0,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T11_b_cloak2|T11_b_leg_big_right|T11_b_leg_big_left|T11_b_cloak|T11_b_arm_big_right|T11_b_arm_big_left|T11_b_chest|T11_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T11_s_arm_big_left|T11_s_leg_big_left|T11_s_cloak2|T11_s_cloak|T11_s_chest|T11_s_leg_big_right|T11_s_belt|T11_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T11_f_cloak2|T11_f_leg_big_left|T11_f_leg_big_right|T11_f_arm_big_left|T11_f_arm_big_right|T11_f_chest|T11_f_cloak|T11_f_belt
40003,4,2,0,2075,1,1,1,10,6,6,5,18,24,65,2,40,15,87,0,0,0,0,0,0,0,head,T11_b_head,head,T11_s_head,head,T11_f_head
40004,5,2,0,3420,4,1,1,10,16,7,15,14,18,27,9,92,9,88,0,0,0,0,0,0,0,foot_right|leg_small_right|leg_small_left|foot_left,T11_b_foot_right|T11_b_leg_small_right|T11_b_leg_small_left|T11_b_foot_left,leg_small_left|foot_left|foot_right|leg_small_right,T11_s_leg_small_left|T11_s_foot_left|T11_s_foot_right|T11_s_leg_small_right,leg_small_left|foot_left|foot_right|leg_small_right,T11_f_leg_small_left|T11_f_foot_left|T11_f_foot_right|T11_f_leg_small_right
40005,6,2,0,1703,3,1,1,10,18,8,16,14,24,39,5,47,9,55,0,0,0,0,0,0,0,scapula_left|scapula_right,T11_b_scapula_left|T11_b_scapula_right,scapula_left|scapula_right,T11_s_scapula_left|T11_s_scapula_right,scapula_right|scapula_left,T11_f_scapula_right|T11_f_scapula_left
40006,7,2,0,2953,5,1,1,10,6,10,5,15,16,14,19,39,11,96,0,0,0,0,0,0,0,hand_right|arm_small_right|arm_small_left,T11_b_hand_right|T11_b_arm_small_right|T11_b_arm_small_left,hand_left|arm_small_left|hand_right|arm_small_right,T11_s_hand_left|T11_s_arm_small_left|T11_s_hand_right|T11_s_arm_small_right,hand_left|arm_small_left|hand_right|arm_small_right,T11_f_hand_left|T11_f_arm_small_left|T11_f_hand_right|T11_f_arm_small_right
40007,8,3,0,2312,7,1,1,10,2,15,1,33,25,40,12,10,12,61,0,0,0,0,0,0,0,0,0,0,0,0,0
40008,9,3,0,400350,8,1,1,10,1,7,11,7,24,91,8,15,8,65,0,0,0,0,0,0,0,0,0,0,0,0,0
40009,1,1,0,19,6,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,sword01,T7_b_sword02,sword01,T7_s_sword02,sword01,T7_f_sword02
40010,1,1,0,20,2,1,0,0,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cloak2|leg_big_right|leg_big_left|cloak|arm_big_right|arm_big_left|chest|belt,T7_b_cloak2|T7_b_leg_big_right|T7_b_leg_big_left|T7_b_cloak|T7_b_arm_big_right|T7_b_arm_big_left|T7_b_chest|T7_b_belt,arm_big_left|leg_big_left|cloak2|cloak|chest|leg_big_right|belt|arm_big_right,T7_s_arm_big_left|T7_s_leg_big_left|T7_s_cloak2|T7_s_cloak|T7_s_chest|T7_s_leg_big_right|T7_s_belt|T7_s_arm_big_right,cloak2|leg_big_left|leg_big_right|arm_big_left|arm_big_right|chest|cloak|belt,T7_f_cloak2|T7_f_leg_big_left|T7_f_leg_big_right|T7_f_arm_big_left|T7_f_arm_big_right|T7_f_chest|T7_f_cloak|T7_f_belt
40011,9,3,0,1594567,9,1,1,10,13,383,2,349,1,288,8,93,7,222,12,52,18,464,0,0,50,fire|word,T9_b_fire|T9_b_word,fire|word,T9_s_fire|T9_s_word,fire|word,T9_f_fire|T9_f_word
40012,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,sword01,T1_b_sword01,sword01,T1_s_sword01,sword01,T1_f_sword01
