道具ID,名称,文字描述,品质,图标,图集路径,物品类型,能否叠加,叠加数量,带回城镇,能否被销毁
id,name,intro,quality,icon,altasPath,goodsEnum,sp_number,sp_number_value,carry_back,destroy
int,string,string,int,string,string,int,int,int,int,int
10015,粉末,符文分解获得的粉末,1,powder,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,9999999,1,1
11000,初阶人族灵魂,人类英雄专用升阶材料，适用2-6阶,4,upgrade_suipan_renlei1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11001,中阶人族灵魂,人类英雄专用升阶材料，适用7-13阶,4,upgrade_suipan_renlei2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11002,高阶人族灵魂,人类英雄专用升阶材料，适用14-20阶,4,upgrade_suipan_renlei3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11003,超阶人族灵魂,人类英雄专用升阶材料，适用21-25阶,4,upgrade_suipan_renlei4,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11004,初阶精灵灵魂,精灵英雄专用升阶材料，适用2-6阶,4,upgrade_suipan_jingling1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11005,中阶精灵灵魂,精灵英雄专用升阶材料，适用7-13阶,4,upgrade_suipan_jingling2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11006,高阶精灵灵魂,精灵英雄专用升阶材料，适用14-20阶,4,upgrade_suipan_jingling3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11007,超阶精灵灵魂,精灵英雄专用升阶材料，适用21-25阶,4,upgrade_suipan_jingling4,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11008,初阶亡灵灵魂,亡灵英雄专用升阶材料，适用2-6阶,4,upgrade_suipan_wangling1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11009,中阶亡灵灵魂,亡灵英雄专用升阶材料，适用7-13阶,4,upgrade_suipan_wangling2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11010,高阶亡灵灵魂,亡灵英雄专用升阶材料，适用14-20阶,4,upgrade_suipan_wangling3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11011,超阶亡灵灵魂,亡灵英雄专用升阶材料，适用21-25阶,4,upgrade_suipan_wangling4,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11012,知言泉水,通用升阶材料，适用2-6阶,1,upgrade_quanshui_zhiyan,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11013,优秀英雄灵魂,通用升阶材料，适用2-6阶,2,upgrade_linghun1_youxiu,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11014,青铜龙之血,通用升阶材料，适用2-6阶,3,upgrade_longxue1_qingtong,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11015,易行泉水,通用升阶材料，适用7-13阶,1,upgrade_quanshui_yixing,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11016,精锐英雄灵魂,通用升阶材料，适用7-13阶,2,upgrade_linghun2_jingrui,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11017,白银龙之血,通用升阶材料，适用7-13阶,3,upgrade_longxue2_baiyin,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11018,气灵泉水,通用升阶材料，适用14-20阶,1,upgrade_quanshui_qingling,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11019,史诗英雄灵魂,通用升阶材料，适用14-20阶,2,upgrade_linghun3_shishi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11020,黄金龙之血,通用升阶材料，适用14-20阶,3,upgrade_longxue3_huangjin,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11021,知一泉水,通用升阶材料，适用21-25阶,1,upgrade_quanshui_zhiyi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11022,传奇英雄灵魂,通用升阶材料，适用21-25阶,2,upgrade_linghun4_chuanqi,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
11023,水晶龙之血,通用升阶材料，适用21-25阶,3,upgrade_longxue4_shuijing,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12000,普通黑晶,武器强化材料，适用1-5星,2,strengthen_heijing1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12001,家禽头骨,武器强化材料，适用1-5星,2,strengthen_tougu1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12002,稀有黑晶,武器强化材料，适用6-8星,3,strengthen_heijing2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12003,野兽头骨,武器强化材料，适用6-8星,3,strengthen_tougu2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12004,罕见黑晶,武器强化材料，适用9-10星,4,strengthen_heijing3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12005,狂兽头骨,武器强化材料，适用9-10星,4,strengthen_tougu3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12006,家禽之血,防具强化材料，适用1-5星,2,strengthen_shouxue1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12007,家禽逆鳞,防具强化材料，适用1-5星,2,strengthen_nilin1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12008,野兽之血,防具强化材料，适用6-8星,3,strengthen_shouxue2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12009,野兽逆鳞,防具强化材料，适用6-8星,3,strengthen_nilin2,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12010,狂暴兽血,防具强化材料，适用9-10星,4,strengthen_shouxue3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12011,狂兽逆鳞,防具强化材料，适用9-10星,4,strengthen_nilin3,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
12012,家禽之齿,首饰强化材料，适用1-5星,2,strengthen_chi1,UI/GoodsIconAtlas/GoodsAtlas_ref,1,0,99,1,1
