序号,子集,掉落种类,物品id,说明,最小数量,最大数量,权重,备注
number,subgroupid,loot_type,id,description,number_min,number_max,weight,remarks
int,int,string,int,string,int,int,int,string
1,50000001,升阶,11000,凝聚了人类战士英雄的灵魂1,1,2,6000,
2,50000001,升阶,11001,凝聚了人类战士英雄的灵魂2,1,2,1500,
3,50000001,升阶,11012,英雄初级升阶材料，最大可升到6阶,1,2,10500,
4,50000001,升阶,11013,英雄初级升阶材料，最大可升到6阶,1,2,7500,
5,50000001,升阶,11014,英雄初级升阶材料，最大可升到6阶,1,2,4500,
6,50000002,升阶,11004,凝聚了精灵法师英雄的灵魂1,1,2,6000,
7,50000002,升阶,11005,凝聚了精灵法师英雄的灵魂2,1,2,1500,
8,50000002,升阶,11012,英雄初级升阶材料，最大可升到6阶,1,2,10500,
9,50000002,升阶,11013,英雄初级升阶材料，最大可升到6阶,1,2,7500,
10,50000002,升阶,11014,英雄初级升阶材料，最大可升到6阶,1,2,4500,
11,50000003,升阶,11008,凝聚了亡灵盗贼英雄的灵魂1,1,2,6000,
12,50000003,升阶,11009,凝聚了亡灵盗贼英雄的灵魂2,1,2,1500,
13,50000003,升阶,11012,英雄初级升阶材料，最大可升到6阶,1,2,10500,
14,50000003,升阶,11013,英雄初级升阶材料，最大可升到6阶,1,2,7500,
15,50000003,升阶,11014,英雄初级升阶材料，最大可升到6阶,1,2,4500,
16,50000004,升阶,11001,凝聚了人类战士英雄的灵魂2,1,2,6000,
17,50000004,升阶,11002,凝聚了人类战士英雄的灵魂3,1,2,1500,
18,50000004,升阶,11015,英雄中级升阶材料，最大可升到13阶,1,2,10500,
19,50000004,升阶,11016,英雄中级升阶材料，最大可升到13阶,1,2,7500,
20,50000004,升阶,11017,英雄中级升阶材料，最大可升到13阶,1,2,4500,
21,50000005,升阶,11005,凝聚了精灵法师英雄的灵魂2,1,2,6000,
22,50000005,升阶,11006,凝聚了精灵法师英雄的灵魂3,1,2,1500,
23,50000005,升阶,11015,英雄中级升阶材料，最大可升到13阶,1,2,10500,
24,50000005,升阶,11016,英雄中级升阶材料，最大可升到13阶,1,2,7500,
25,50000005,升阶,11017,英雄中级升阶材料，最大可升到13阶,1,2,4500,
26,50000006,升阶,11009,凝聚了亡灵盗贼英雄的灵魂2,1,2,6000,
27,50000006,升阶,11010,凝聚了亡灵盗贼英雄的灵魂3,1,2,1500,
28,50000006,升阶,11015,英雄中级升阶材料，最大可升到13阶,1,2,10500,
29,50000006,升阶,11016,英雄中级升阶材料，最大可升到13阶,1,2,7500,
30,50000006,升阶,11017,英雄中级升阶材料，最大可升到13阶,1,2,4500,
31,50000007,升阶,11002,凝聚了人类战士英雄的灵魂3,1,2,6000,
32,50000007,升阶,11003,凝聚了人类战士英雄的灵魂4,1,2,1500,
33,50000007,升阶,11018,英雄高级升阶材料，最大可升到20阶,1,2,10500,
34,50000007,升阶,11019,英雄高级升阶材料，最大可升到20阶,1,2,7500,
35,50000007,升阶,11020,英雄高级升阶材料，最大可升到20阶,1,2,4500,
36,50000008,升阶,11006,凝聚了精灵法师英雄的灵魂3,1,2,6000,
37,50000008,升阶,11007,凝聚了精灵法师英雄的灵魂4,1,2,1500,
38,50000008,升阶,11018,英雄高级升阶材料，最大可升到20阶,1,2,10500,
39,50000008,升阶,11019,英雄高级升阶材料，最大可升到20阶,1,2,7500,
40,50000008,升阶,11020,英雄高级升阶材料，最大可升到20阶,1,2,4500,
41,50000009,升阶,11010,凝聚了亡灵盗贼英雄的灵魂3,1,2,6000,
42,50000009,升阶,11011,凝聚了亡灵盗贼英雄的灵魂4,1,2,1500,
43,50000009,升阶,11018,英雄高级升阶材料，最大可升到20阶,1,2,10500,
