KEY,CN,EN
新手引导,新手引导,新手引导
终于到了这里，继续向前探索吧，点击地面移动角色,终于到了这里，继续向前探索吧，点击地面移动角色,Finally here  keep exploring  click on the Ground Moving Character
点这里， 攻击怪物,点这里， 攻击怪物,Tap here  attack the monster
点这里， 使用生命药剂,点这里， 使用生命药剂,Here  use the life agent
点这里转职,点这里转职,Turn around here
学习技能1,学习技能1,Learning skills 1
点这里学习技能1,点这里学习技能1,Here's the learning skill 1
学习技能2,学习技能2,Learning skills 2
点击这里学习技能2,点击这里学习技能2,Click here to learn skill 2
点击这里打开箱子,点击这里打开箱子,Click here to open the box
点这里， 使用技能,点这里， 使用技能,Point here  use the skills
点这里恢复能量,点这里恢复能量,It's here to restore energy
点这里， 进入下一层,点这里， 进入下一层,Point here  go into the next layer
这里像迷宫一样复杂，找到出口,这里像迷宫一样复杂，找到出口,It's as complicated as a labyrinth  find the exit
就是你嘛，怪物纳命来！！,就是你嘛，怪物纳命来！！,It's you  the monster!!!So
点这里， 进入营地. 在这里，你可以提升自己，招募英雄,点这里， 进入营地. 在这里，你可以提升自己，招募英雄,Point here  enter the camp. Here  you can improve yourself and recruit heroes
点这里， 进入市场买卖物品,点这里， 进入市场买卖物品,Point here  enter the market to buy and sell goods
点这里， 进入工坊制作物品,点这里， 进入工坊制作物品,Here  come into the workshop and make things
装备制作，只要你能拿到相应的材料，就可以锻造,装备制作，只要你能拿到相应的材料，就可以锻造,Equipment manufacturing  as long as you can get the corresponding materials  you can forge.
符文制作，也可以制作一些简单的符文，同样需要对应的材料,符文制作，也可以制作一些简单的符文，同样需要对应的材料,Rune making  you can also make some simple runes  the same need for the corresponding material
道具制作，简单的炼金术也可以,道具制作，简单的炼金术也可以,Props are made  simple alchemy can also be
强化是变强的最直接的手段，现在让我来帮你强化以下你手上的装备吧，首先点击装备,强化是变强的最直接的手段，现在让我来帮你强化以下你手上的装备吧，首先点击装备,Enhancement is the most direct way to get stronger. Now let me help you reinforce the equipment on your hands. Click on the equipment first.
材料我已经帮你准备好了，直接点击强化,材料我已经帮你准备好了，直接点击强化,I've got the material ready for you. Just click Enhancement
每次强化都有不同的可能性,每次强化都有不同的可能性,Every time there is a different possibility of strengthening
想要再次强化就来找我吧，我随时在这里,想要再次强化就来找我吧，我随时在这里,Come to me if you want to strengthen again  I'm here anytime
点击进入仓库,点击进入仓库,Click into the warehouse
首先点击装备,首先点击装备,First  click on the equipment
你醒了啊!你和三头犬战斗的过程，我都看到了，虽然技巧差了一些，但是勇气可嘉。你总有一天能够战胜它的。,你醒了啊!你和三头犬战斗的过程，我都看到了，虽然技巧差了一些，但是勇气可嘉。你总有一天能够战胜它的。,You wake up! I've seen how you fought with the three dogs. They're a little less skilled  but they have a lot of courage.You will be able to overcome it one day.
现在就在我建立的营地中磨练自己吧，这里是我一手建立的，只要是为了破解诅咒的勇士，我都愿意提供帮助。,现在就在我建立的营地中磨练自己吧，这里是我一手建立的，只要是为了破解诅咒的勇士，我都愿意提供帮助。,Now hone yourself in the camp I set up  where I built it myself  and I am willing to help as long as it is a warrior to break the curse
营地中的一切你都可以自由使用。,营地中的一切你都可以自由使用。,You are free to use everything in the camp
你也可以通过我提升自己的力量，或者招募到新的勇者。,你也可以通过我提升自己的力量，或者招募到新的勇者。,You can also raise your strength through me  or recruit new warriors
你也可以去前面看看商人。,你也可以去前面看看商人。,You can also go ahead and see the businessman.
你就是那个新来的勇士嘛？来来来，每一个来到这里的人都会我这里看一看的，我这里什么都有啊。只要你有钱，公主我都可以给你绑过来。,你就是那个新来的勇士嘛？来来来，每一个来到这里的人都会我这里看一看的，我这里什么都有啊。只要你有钱，公主我都可以给你绑过来。,Are you the new warrior?Come here. Everyone who comes here will look at me. I have everything here.As long as you have money  Princess I can tie it to you.
要不要和我交易一波呢？？我这里童叟无欺，便宜的很啊。,要不要和我交易一波呢？？我这里童叟无欺，便宜的很啊。,Do you want to deal with me??I'm here. It's cheap. It's cheap.
前面不远还有一个铁匠，不过他话不是很多,前面不远还有一个铁匠，不过他话不是很多,There was a blacksmith not far ahead  but he didn't say much.
但是他会的很多，身为一个铁匠，锻造制作当然不在话下，他竟然还会炼金术。尤其是装备强化，简直就是只赚不赔的买卖。,但是他会的很多，身为一个铁匠，锻造制作当然不在话下，他竟然还会炼金术。尤其是装备强化，简直就是只赚不赔的买卖。,But he could do a lot. As a blacksmith  forging was no problem. He could even do alchemy.Especially the strengthening of equipment  is simply a profit-making business
不过他这个人不是很好相处，你要小心一点,不过他这个人不是很好相处，你要小心一点,But he's not very easy to get along with. You have to be careful.
你就是新来的么,你就是新来的么,Are you new here.
我这里可以锻造和制作符文。,我这里可以锻造和制作符文。,I can forge and make runes here.
一些简单的炼金术，我也可以帮你实现。,一些简单的炼金术，我也可以帮你实现。,Some simple alchemy  I can help you achieve.
现在我可以免费为你强化一次武器，让我看看你的剑吧！,现在我可以免费为你强化一次武器，让我看看你的剑吧！,Now I can fortify your weapon for free. Let me see your sword.
所有的装备，要好好使用才能发挥最强大的力量！,所有的装备，要好好使用才能发挥最强大的力量！,All the equipment  to use to play the most powerful!
外出冒险很危险，只有在仓库中的物品才是真的安全， 现在，点开仓库吧,外出冒险很危险，只有在仓库中的物品才是真的安全， 现在，点开仓库吧,It's dangerous to go out and take risks. Only the things in the warehouse are really safe. Now  open the warehouse.
冒险奖励,冒险奖励,Adventure reward
最高达到层数,最高达到层数,The highest reaches the number of layers
宝箱探索,宝箱探索,Treasure box exploration
劫后余生,劫后余生,Be a survivor of a disaster
击杀Boss,击杀Boss,Kill Boss
怪物猎人,怪物猎人,Monster Hunter
装备评分,装备评分,Equipment score
战利品收集,战利品收集,The collection of trophies
评分,评分,Score
通关时间,通关时间,Clearance time
分,分,Divide
秒,秒,s
获得金币,获得金币,Get a gold coin
分享,分享,Sharing
继续,继续,Continue
箱子已经锁死不能打开了,箱子已经锁死不能打开了,box has been locked!
当前无技能,当前无技能,No Skills
事件触发,事件触发,Event trigger
贪婪的宝箱,贪婪的宝箱,Greedy treasure chest
迷雾,迷雾,Foggy
蛇,蛇,Snake
恐怖兽爪,恐怖兽爪,Horror claw
欢快的精灵,欢快的精灵,Cheerful elf
光芒,光芒,Ray
鬼火,鬼火,WISP
恐怖的雕像,恐怖的雕像,Horror statue
铁砧,铁砧,anvil
裂缝,裂缝,crack
随机事件key1,你看到了一个平淡无奇的宝箱，久经冒险的你早已经轻车熟路，走向了这个平淡无奇的宝箱。但是在你伸出手的时候，宝箱突然动了起来，像似与你招手一般。这个时候你会。。。。。。,You have seen a bland treasure chest. You have already taken the road through the adventure  and you have come to this bland treasure chest.But when you reach out  the treasure chest suddenly moves  like you beckoning with you.This time you will. . . . . . 
随机事件key2,在你打开宝箱的一瞬间，宝箱中只有一团白色的迷雾，神秘莫测，无法感知到黑色迷雾下到底是什么东西。。。。这个时候你会。。。。。。,In the moment you open the treasure chest  there is only a white mist in the treasure chest  which is mysterious and unpredictable. It is impossible to perceive what is under the black fog...This time you will. . . . . . 
随机事件key3,你打开了宝箱，宝箱中只有一条小蛇，蛇开口对你说:“让我咬一口，我就能给你你想要的一切。。。“这个时候你。。。。。。。,You opened the treasure chest. There is only one small snake in the treasure chest. The snake said to you  Let me take a bite  I can give you everything you want...\“ \“This time you...\“ \“\“
随机事件key4,你发现了一个破旧的宝箱，宝箱上下布满了恐怖的抓痕，像是有什么巨兽留下的仔细观察，这端口似乎还很新鲜，像是刚刚才被破坏不久，这个时候你。。。。,You found a dilapidated treasure chest  and the treasure chest was covered with horrible scratches  like what monsters left behind.Look closely  this port seems to be still very fresh  like it has just been destroyed soon  this time you. . . . 
随机事件key5,三个欢快的精灵在向你招手。。。他们能实现你的愿望，但是只能实现三个愿望当中的一共，你会选择哪一个呢？,Three cheerful elves are waving to you...They can fulfill your wishes  but only one of the three wishes can be achieved. Which one would you choose? 
随机事件key6,一束闪耀的光芒照耀进了漆黑一片的遗迹，让人觉得诡异，但同时又似乎充满了希望。。。。。,A gleaming ray of light shines into the ruins of the darkness  which makes people feel surprised  but at the same time seems to be full of hope. . . . .
随机事件key7,一团鬼火贪婪的望向了你，向你提出一笔交易。,A group of ghosts greedily looked at you and offered you a deal.
随机事件key8,你忽然听见有人在呼唤你，最后你得视线锁定了这个雕像，雕像并不会动，但是却可以发出声音,You suddenly hear someone calling you  and finally you have to lock the statue  the statue will not move  but it can make a sound.
